2019-11-17T01:22:47.000Z,b'Pump and dump alert: #Seele +19% volume/24h. #bitcoin #trader #btc More: https://t.co/zRiLNuhwvj',Pump and dump alert Seele 19 volume 24h itcoin trader tc More
2019-11-17T01:24:38.000Z,"b'(1) For #Bitcoin #traders wondering if seasonality can be used to time purchases or sales, the #CoinGenius research\\xe2\\x80\\xa6 https://t.co/6iB79RE8WH'",1 For Bitcoin traders wondering if seasonality can e used to time purchases or sales the CoinGenius research xe2 x80 xa6
2019-11-17T01:24:49.000Z,b'Learn a bit out the @0xProject and dont miss out on your chance to win some #ZRX\n#CryptoNews #cryptocurrency\xe2\x80\xa6 https://t.co/gTXMMsXdAd',Learn a it out the and dont miss out on your chance to win some ZRX n CryptoNews cryptocurrency xe2 x80 xa6
2019-11-17T01:24:58.000Z,"b'BTC\\xe6\\x88\\xa6\\xe9\\x97\\x98\\xe5\\x8a\\x9b\\xe2\\x86\\x93:\\xc2\\xa5924,295(max #LSK/mini #XEM)\\n\\xe3\\x82\\x84\\xe3\\x81\\xaf\\xe3\\x82\\x8a\\xe4\\xb8\\x8b\\xe3\\x82\\x8a\\xe3\\x81\\xbe\\xe3\\x81\\x97\\xe3\\x81\\x9f\\xe3\\x81\\xad\\r\\xe3\\x80\\x81\\xe8\\xab\\xa6\\xe3\\x82\\x81\\xe3\\x81\\xa6\\xe3\\x82\\xa2\\xe3\\x83\\x95\\xe3\\x82\\xa3\\xe3\\x83\\xaa\\xe3\\x82\\xa8\\xe3\\x82\\xa4\\xe3\\x83\\x88\\xe3\\x81\\x97\\xe3\\x81\\xaa\\xe3\\x81\\x95\\xe3\\x81\\x84\\n\\n#\\xe3\\x83\\x95\\xe3\\x83\\xaa\\xe3\\x83\\xbc\\xe3\\x82\\xb6 #\\xe7\\x9b\\xb8\\xe5\\xa0\\xb4 #\\xe8\\xa8\\xbc\\xe5\\x88\\xb8 #BITCOIN #\\xe3\\x83\\x95\\xe3\\x83\\xaa\\xe3\\x83\\xbc\\xe3\\x82\\xb6\\xe3\\x83\\x81\\xe3\\x83\\xa3\\xe3\\x83\\xbc\\xe3\\x83\\x88 https://t.co/uaI1M5ieQ4'",BTC xe6 x88 xa6 xe9 x97 x98 xe5 x8a x9 xe2 x86 x93 xc2 xa5924 295 max LSK mini XEM n xe3 x82 x84 xe3 x81 xaf xe3 x82 x8a xe4 x8 x8 xe3 x82 x8a xe3 x81 xe xe3 x81 x97 xe3 x81 x9f xe3 x81 xad r xe3 x80 x81 xe8 xa xa6 xe3 x82 x81 xe3 x81 xa6 xe3 x82 xa2 xe3 x83 x95 xe3 x82 xa3 xe3 x83 xaa xe3 x82 xa8 xe3 x82 xa4 xe3 x83 x88 xe3 x81 x97 xe3 x81 xaa xe3 x81 x95 xe3 x81 x84 n n xe3 x83 x95 xe3 x83 xaa xe3 x83 xc xe3 x82 x6 xe7 x9 x8 xe5 xa0 x4 xe8 xa8 xc xe5 x88 x8 BITCOIN xe3 x83 x95 xe3 x83 xaa xe3 x83 xc xe3 x82 x6 xe3 x83 x81 xe3 x83 xa3 xe3 x83 xc xe3 x83 x88
2019-11-17T01:25:23.000Z,b'Watch videos to earn bitcoin  \n\nVisit Now: https://t.co/XUJfhkZ3bB\n\n #Successful #Watch #Videos #Earn #Bitcoin',Watch videos to earn itcoin n nVisit Now Successful Watch Videos Earn Bitcoin
2019-11-17T01:25:32.000Z,b'Imagine what bitcoin could do next if this move turn out to be bullish. I know its not easy but i am taking risk wi\xe2\x80\xa6 https://t.co/Sasx599X5t',Imagine what itcoin could do next if this move turn out to e ullish I know its not easy ut i am taking risk wi xe2 x80 xa6
2019-11-17T01:27:59.000Z,b'@extstock @dcs_token excellent\n#cryptocurrency #bitcoin',excellent n cryptocurrency itcoin
2019-11-17T01:28:12.000Z,b'@RobertBeadles @officialmcafee Great Interview\n\nbitcoincash:qp0wz953z5fvuz553du5f848garant6pzsd3f77lll\n\n#Bitcoin\xe2\x80\xa6 https://t.co/6yKi081MOy',Great Interview n nitcoincash qp0wz953z5fvuz553du5f848garant6pzsd3f77lll n n Bitcoin xe2 x80 xa6
2019-11-17T01:29:01.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin \nGood project',cryptocurrency itcoin nGood project
2019-11-17T01:29:18.000Z,b'Question for #cryptotwitter\n\nWould you take $btc #crypto investment advice from someone who didn\xe2\x80\x99t own any #bitcoin\xe2\x80\xa6 https://t.co/sWJiIcPfqz',Question for cryptotwitter n nWould you take tc crypto investment advice from someone who didn xe2 x80 x99t own any itcoin xe2 x80 xa6
2019-11-17T01:29:18.000Z,"b'\\xe7\\x9f\\xad\\xe3\\x81\\x84\\xe8\\xb6\\xb3(ex.M5...)\\xe3\\x81\\xae\\xe3\\x83\\x88\\xe3\\x83\\xac\\xe3\\x83\\xb3\\xe3\\x83\\x89\\xe3\\x81\\xae\\xe5\\x84\\xaa\\xe4\\xbd\\x8d\\xe6\\x80\\xa7\\xe3\\x81\\x8c\\xe5\\xa4\\xb1\\xe3\\x82\\x8f\\xe3\\x82\\x8c\\xe3\\x82\\x8b\\xe3\\x81\\xae\\xe3\\x81\\xaf\\xe3\\x81\\xa9\\xe3\\x81\\x93\\xe3\\x81\\xaa\\xe3\\x81\\xae\\xe3\\x81\\x8b\\xe3\\x80\\x82\\xe6\\x90\\x8d\\xe5\\x88\\x87\\xe3\\x82\\x8a\\xe3\\x82\\x92\\xe7\\x9f\\xad\\xe3\\x81\\x84\\xe8\\xb6\\xb3\\xe3\\x81\\xae\\xe3\\x83\\x88\\xe3\\x83\\xac\\xe3\\x83\\xb3\\xe3\\x83\\x89\\xe3\\x81\\x8c\\xe5\\x84\\xaa\\xe4\\xbd\\x8d\\xe6\\x80\\xa7\\xe3\\x82\\x92\\xe5\\xa4\\xb1\\xe3\\x81\\x86\\xe6\\x98\\x8e\\xe7\\xa2\\xba\\xe3\\x81\\xaa\\xe6\\x8a\\x9c\\xe3\\x81\\x91\\xe3\\x81\\xbe\\xe3\\x81\\xa7\\xe5\\xbe\\x85\\xe3\\x81\\xa6\\xe3\\x82\\x8b\\xe3\\x81\\x8b\\xef\\xbc\\x9f\\xe5\\xbe\\x85\\xe3\\x81\\xa6\\xe3\\x81\\xaa\\xe3\\x81\\x84\\xe3\\x81\\xaa\\xe3\\x82\\x89\\xe3\\x83\\xac\\xe3\\x83\\x90\\xe3\\x83\\xac\\xe3\\x83\\x83\\xe3\\x82\\xb8\\xe3\\x81\\x8c\\xe9\\xab\\x98\\xe9\\x81\\x8e\\xe3\\x81\\x8e\\xe3\\x82\\x8b\\xe3\\x80\\x81\\xe3\\x81\\x82\\xe3\\x82\\x8b\\xe3\\x81\\x84\\xe3\\x81\\xaf\\xe7\\x84\\xa1\\xe9\\xa7\\x84\\xe3\\x81\\xaa\\xe3\\x82\\xa8\\xe3\\x83\\xb3\\xe3\\x83\\x88\\xe3\\x83\\xaa\\xe3\\x83\\xbc\\xe3\\x81\\xa7\\xe9\\x96\\x93\\xe9\\x81\\x95\\xe3\\x81\\x84\\xe3\\x81\\xaa\\xe3\\x81\\x84\\xe3\\x80\\x82 #fx,#bitcoin'",xe7 x9f xad xe3 x81 x84 xe8 x6 x3 ex M5 xe3 x81 xae xe3 x83 x88 xe3 x83 xac xe3 x83 x3 xe3 x83 x89 xe3 x81 xae xe5 x84 xaa xe4 xd x8d xe6 x80 xa7 xe3 x81 x8c xe5 xa4 x1 xe3 x82 x8f xe3 x82 x8c xe3 x82 x8 xe3 x81 xae xe3 x81 xaf xe3 x81 xa9 xe3 x81 x93 xe3 x81 xaa xe3 x81 xae xe3 x81 x8 xe3 x80 x82 xe6 x90 x8d xe5 x88 x87 xe3 x82 x8a xe3 x82 x92 xe7 x9f xad xe3 x81 x84 xe8 x6 x3 xe3 x81 xae xe3 x83 x88 xe3 x83 xac xe3 x83 x3 xe3 x83 x89 xe3 x81 x8c xe5 x84 xaa xe4 xd x8d xe6 x80 xa7 xe3 x82 x92 xe5 xa4 x1 xe3 x81 x86 xe6 x98 x8e xe7 xa2 xa xe3 x81 xaa xe6 x8a x9c xe3 x81 x91 xe3 x81 xe xe3 x81 xa7 xe5 xe x85 xe3 x81 xa6 xe3 x82 x8 xe3 x81 x8 xef xc x9f xe5 xe x85 xe3 x81 xa6 xe3 x81 xaa xe3 x81 x84 xe3 x81 xaa xe3 x82 x89 xe3 x83 xac xe3 x83 x90 xe3 x83 xac xe3 x83 x83 xe3 x82 x8 xe3 x81 x8c xe9 xa x98 xe9 x81 x8e xe3 x81 x8e xe3 x82 x8 xe3 x80 x81 xe3 x81 x82 xe3 x82 x8 xe3 x81 x84 xe3 x81 xaf xe7 x84 xa1 xe9 xa7 x84 xe3 x81 xaa xe3 x82 xa8 xe3 x83 x3 xe3 x83 x88 xe3 x83 xaa xe3 x83 xc xe3 x81 xa7 xe9 x96 x93 xe9 x81 x95 xe3 x81 x84 xe3 x81 xaa xe3 x81 x84 xe3 x80 x82 fx itcoin
2019-11-17T01:29:25.000Z,b'The \xe2\x80\x9cdeep state\xe2\x80\x9d is no conspiracy theory anymore. They\xe2\x80\x99ve infiltrated mainstream media. People should take note. Do\xe2\x80\xa6 https://t.co/E8atX2Vmxg',The xe2 x80 x9cdeep state xe2 x80 x9d is no conspiracy theory anymore They xe2 x80 x99ve infiltrated mainstream media People should take note Do xe2 x80 xa6
2019-11-17T01:30:04.000Z,b'One Bitcoin now worth $8486.00@bitstamp. High $8539.530. Low $8423.000. Market Cap $153.186 Billion #bitcoin',One Bitcoin now worth 8486 00 High 8539 530 Low 8423 000 Market Cap 153 186 Billion itcoin
2019-11-17T01:30:04.000Z,b'One Bitcoin now worth $8499.812. Market Cap $153.435 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8499 812 Market Cap 153 435 Billion Based on coindesk BPI itcoin
2019-11-17T01:30:05.000Z,b'2019/11/17 10:30\n\nBTC 924205\xe5\x86\x86\nETH 19853.2\xe5\x86\x86\nETC 504.7\xe5\x86\x86\nBCH 28959.9\xe5\x86\x86\nXRP 28.4\xe5\x86\x86\nXEM 4.6\xe5\x86\x86\nLSK 86.5\xe5\x86\x86\nMONA 115.1\xe5\x86\x86\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe2\x80\xa6 https://t.co/sxsE2hvtsS',2019 11 17 10 30 n nBTC 924205 xe5 x86 x86 nETH 19853 2 xe5 x86 x86 nETC 504 7 xe5 x86 x86 nBCH 28959 9 xe5 x86 x86 nXRP 28 4 xe5 x86 x86 nXEM 4 6 xe5 x86 x86 nLSK 86 5 xe5 x86 x86 nMONA 115 1 xe5 x86 x86 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe2 x80 xa6
2019-11-17T01:30:05.000Z,"b'Buy Bitcoin With PayPal! Also with CC, paysafecard, Skrill, OKPAY https://t.co/Qdq3dxXr95 #btc #bitcoin 20 https://t.co/lvzZrhvF6F'",Buy Bitcoin With PayPal Also with CC paysafecard Skrill OKPAY tc itcoin 20
2019-11-17T01:30:06.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 04:30:06\\n#Bitcoin: $8,552.968\\n#Ethereum: $183.240\\n#XRP: $0.264\\xe2\\x80\\xa6 https://t.co/1Ssi8rS4kD'",Top 5 cryptocurrencies n Alert Time 2019 11 17 04 30 06 n Bitcoin 8 552 968 n Ethereum 183 240 n XRP 0 264 xe2 x80 xa6
2019-11-17T01:30:07.000Z,b'XDNA #Vaultmex Price Alert \n Time: 2019-11-17 04:30:07\n#XDNA BTC\n Change:%\n#instaethereum #bitcoin #blockchain $LTC\xe2\x80\xa6 https://t.co/utH7om0ZjE',XDNA Vaultmex Price Alert n Time 2019 11 17 04 30 07 n XDNA BTC n Change n instaethereum itcoin lockchain LTC xe2 x80 xa6
2019-11-17T01:30:08.000Z,"b'#BTC: \\xe2\\x82\\xba48.859,00\\n#ETH: \\xe2\\x82\\xba1.049,54\\n#LTC:  \\xe2\\x82\\xba336,10\\n#XRP: \\xe2\\x82\\xba1,51\\n\\n17.11.19 - 04:30\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/5BdgMBA9Vo'",BTC xe2 x82 xa48 859 00 n ETH xe2 x82 xa1 049 54 n LTC xe2 x82 xa336 10 n XRP xe2 x82 xa1 51 n n17 11 19 04 30 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T01:30:09.000Z,"b'Nov 17, 2019 01:29:00 UTC | 8,499.80$ | 7,691.20\\xe2\\x82\\xac | 6,587.20\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/8VR2JGa70k'",Nov 17 2019 01 29 00 UTC 8 499 80 7 691 20 xe2 x82 xac 6 587 20 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T01:30:11.000Z,b'Join the club at https://t.co/ZSV6pMtlXl\n5 BTC Bonus &amp; Live dealers\n#blackjack #bitcoin #btc #casino #bet #gamble\xe2\x80\xa6 https://t.co/fDogcb6XQF',Join the clu at BTC Bonus amp Live dealers n lackjack itcoin tc casino et gamle xe2 x80 xa6
2019-11-17T01:30:15.000Z,"b'Hello humans, as of Sat Nov 16 19:30:13 CST 2019, current #cryptocoin prices:\\n#bitcoin is $8563.8638\\n#dash is $68.4\\xe2\\x80\\xa6 https://t.co/hizhVj4mXb'",Hello humans as of Sat Nov 16 19 30 13 CST 2019 current cryptocoin prices n itcoin is 8563 8638 n dash is 68 4 xe2 x80 xa6
2019-11-17T01:30:54.000Z,b'\xe4\xba\x88\xe6\x83\xb3\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xa0\xe3\x81\x91\xe3\x81\xa7bitcoin\xe3\x81\x8c\xe3\x82\x82\xe3\x82\x89\xe3\x81\x88\xe3\x82\x8b\xe3\x80\x80https://t.co/7tTzWoehBu\xe3\x80\x80#bitcoin #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #\xe5\x89\xaf\xe6\xa5\xad',xe4 xa x88 xe6 x83 x3 xe3 x81 x99 xe3 x82 x8 xe3 x81 xa0 xe3 x81 x91 xe3 x81 xa7itcoin xe3 x81 x8c xe3 x82 x82 xe3 x82 x89 xe3 x81 x88 xe3 x82 x8 xe3 x80 x80https xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe5 x89 xaf xe6 xa5 xad
2019-11-17T01:31:07.000Z,"b'El precio del Bitcoin: 7,694.33\\xe2\\x82\\xac #bitcoin #elpreciodelbtc #criptomonedas'",El precio del Bitcoin 7 694 33 xe2 x82 xac itcoin elpreciodeltc criptomonedas
2019-11-17T01:31:15.000Z,"\"b'Google, in partnership with U.S. banking giant Citigroup, has said it\\'s planning to launch its own fully-fledged \"\"s\\xe2\\x80\\xa6 https://t.co/FiHlmy5PLY'\"",Google in partnership with U S anking giant Citigroup has said it s planning to launch its own fully fledged s xe2 x80 xa6
2019-11-17T01:31:19.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 43%\n\n price: $8485.675',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 43 n n price 8485 675
2019-11-17T01:31:21.000Z,"b'Paul Rogers, with his copy of my new book at the World Crypto Conference. You, too can get your copy &amp; for a limite\\xe2\\x80\\xa6 https://t.co/bFKkwPjrV7'",Paul Rogers with his copy of my new ook at the World Crypto Conference You too can get your copy amp for a limite xe2 x80 xa6
2019-11-17T01:31:51.000Z,b'#bitcoin #crytocurrency #fintech #bitcoin #blockchain',itcoin crytocurrency fintech itcoin lockchain
2019-11-17T01:31:53.000Z,"b'Los expertos desbloquean la clave de la fotos\\xc3\\xadntesis, un hallazgo que podr\\xc3\\xada ayudarnos a satisfacer las demandas de\\xe2\\x80\\xa6 https://t.co/l15NjiyVnS'",Los expertos desloquean la clave de la fotos xc3 xadntesis un hallazgo que podr xc3 xada ayudarnos a satisfacer las demandas de xe2 x80 xa6
2019-11-17T01:32:05.000Z,b'Flow of Era and World\nLearn Step by Step - Step-Up Growth\n\n[What are #Bitcoin Mining Pools?]\nhttps://t.co/Socg1ElKCp\n#Bitcoin #Currency',Flow of Era and World nLearn Step y Step Step Up Growth n n What are Bitcoin Mining Pools nhttps Currency
2019-11-17T01:32:05.000Z,b'\xc3\xb9\xc3\xbf\xc3\x97i\xc3\x9a\xe2\x96\xa0\xc3\x9c^ #crypto #bitcoin #java #competition #influencer #datascience #fintech #science #EU https://t.co/Zkz2GnxywV https://t.co/wLJ8OwjjE1',xc3 x9 xc3 xf xc3 x97i xc3 x9a xe2 x96 xa0 xc3 x9c crypto itcoin java competition influencer datascience fintech science EU
2019-11-17T01:32:16.000Z,b'24 months from now we gonna look at these prices is just laugh at the time we spend stressing about it when all tho\xe2\x80\xa6 https://t.co/aXzPixXAZW',24 months from now we gonna look at these prices is just laugh at the time we spend stressing aout it when all tho xe2 x80 xa6
2019-11-17T01:32:27.000Z,b'Join the club at https://t.co/OFxbPIdo3A\n5 BTC Bonus &amp; Live dealers\n#blackjack #bitcoin #btc #casino #bet #gamble\xe2\x80\xa6 https://t.co/lptTmzQiVb',Join the clu at BTC Bonus amp Live dealers n lackjack itcoin tc casino et gamle xe2 x80 xa6
2019-11-17T01:32:41.000Z,"b'28,169,949 Bitcoin Wallets at this moment in the world\\n --- What do you think? \\n --- You can create your BTC wallet\\xe2\\x80\\xa6 https://t.co/NQH3zD6Asg'",28 169 949 Bitcoin Wallets at this moment in the world n What do you think n You can create your BTC wallet xe2 x80 xa6
2019-11-17T01:33:05.000Z,"b'Tom Lee Acknowledges the #Bitcoin Price Won\\xe2\\x80\\x99t Hit $40,000 Soon #Crypto https://t.co/A3Ug2NW2mW via [The Merkle] https://t.co/oGSVEAhMCM'",Tom Lee Acknowledges the Bitcoin Price Won xe2 x80 x99t Hit 40 000 Soon Crypto via The Merkle
2019-11-17T01:33:35.000Z,"b'Perhaps Google Will Kill Bitcoin, After All #bitcoin https://t.co/p8aOzT2U0f'",Perhaps Google Will Kill Bitcoin After All itcoin
2019-11-17T01:33:44.000Z,b'Proud of #Wifey - Cardiology Professor @DukeHealth - I\xe2\x80\x99ve been brainstorming with her on how #Bitcoin #Ethereum and\xe2\x80\xa6 https://t.co/u7jRkSuRG6',Proud of Wifey Cardiology Professor I xe2 x80 x99ve een rainstorming with her on how Bitcoin Ethereum and xe2 x80 xa6
2019-11-17T01:34:11.000Z,"b'Crypto Analysis: If #Bitcoin fails to hold support within the next few days, we will be making another move down in\\xe2\\x80\\xa6 https://t.co/1CUoZTaMRY'",Crypto Analysis If Bitcoin fails to hold support within the next few days we will e making another move down in xe2 x80 xa6
2019-11-17T01:34:47.000Z,b'@dan_talmon @PrestonPysh @bradmillscan @TraceMayer @pierre_rochard #bitcoin will be the one and only money in 14-29\xe2\x80\xa6 https://t.co/IIWCbRP49k',itcoin will e the one and only money in 14 29 xe2 x80 xa6
2019-11-17T01:35:14.000Z,b'- https://t.co/m362QfjGGO - #IEO #Bitcoin #Cryptocurrency #HawkNetwork @Criptoinforme https://t.co/3bWbkTh9Ul',IEO Bitcoin Cryptocurrency HawkNetwork
2019-11-17T01:35:16.000Z,b'https://t.co/wccFYEfvfL #bitcoin #ethereum #criptomoneda #btc #eth #criptomonedas #inversion #blockchain #espa\xc3\xb1a #espa\xc3\xb1ol #blockmint',itcoin ethereum criptomoneda tc eth criptomonedas inversion lockchain espa xc3 x1a espa xc3 x1ol lockmint
